customer_id,age,tenure_months,city,plan,contract_type,internet_service,monthly_charges,total_charges,support_tickets,satisfaction_score,last_login_days,payment_method,churn
C0001,27,7,Bangalore,Basic,Annual,Mobile,620,4515,3,7,21,UPI,0
C0002,34,12,Chennai,Pro,Monthly,DSL,1681,20522,8,1,50,Debit Card,1
C0003,41,17,Pune,Basic,Annual,Fiber,662,11779,0,10,27,Net Banking,0
C0004,48,22,Hyderabad,Pro,Two year,Mobile,1723,38606,5,6,56,Credit Card,0
C0005,55,27,Delhi,Basic,Annual,DSL,704,19883,6,5,69,Net Banking,1
C0006,62,32,Kolkata,Pro,Two year,Fiber,1765,57530,2,9,62,UPI,0
C0007,26,37,Ahmedabad,Basic,Annual,Mobile,746,28827,3,9,0,Debit Card,0
C0008,33,42,Mumbai,Pro,Two year,DSL,1807,77294,8,4,29,UPI,0
C0009,40,47,Bangalore,Basic,Monthly,Fiber,788,37036,0,10,6,Credit Card,0
C0010,47,52,Chennai,Pro,Two year,Mobile,1849,96323,5,7,35,Net Banking,0
C0011,54,57,Pune,Basic,Monthly,DSL,830,47660,6,6,48,Credit Card,1
C0012,61,2,Hyderabad,Pro,Monthly,Fiber,1891,4307,2,7,41,Debit Card,1
C0013,25,7,Delhi,Basic,Annual,Mobile,872,6804,3,7,54,UPI,0
C0014,32,12,Kolkata,Pro,Monthly,DSL,1933,24071,8,1,8,Debit Card,1
C0015,39,17,Ahmedabad,Basic,Annual,Fiber,914,16588,0,10,60,Net Banking,0
C0016,46,22,Mumbai,Pro,Two year,Mobile,1975,44675,5,6,14,Credit Card,0
C0017,53,27,Bangalore,Basic,Annual,DSL,599,17573,6,5,27,Net Banking,1
C0018,60,32,Chennai,Pro,Two year,Fiber,1660,53120,2,9,20,UPI,0
C0019,24,37,Pune,Basic,Annual,Mobile,641,23892,3,9,33,Debit Card,0
C0020,31,42,Hyderabad,Pro,Two year,DSL,1702,71834,8,4,62,UPI,1
C0021,38,47,Delhi,Basic,Monthly,Fiber,683,32626,0,10,39,Credit Card,0
C0022,45,52,Kolkata,Pro,Two year,Mobile,1744,91388,5,7,68,Net Banking,1
C0023,52,57,Ahmedabad,Basic,Monthly,DSL,725,42200,6,6,6,Credit Card,0
C0024,59,2,Mumbai,Pro,Monthly,Fiber,1786,4622,2,7,74,Debit Card,1
C0025,23,7,Bangalore,Basic,Annual,Mobile,767,6594,3,7,12,UPI,0
C0026,30,12,Chennai,Pro,Monthly,DSL,1828,23336,8,1,41,Debit Card,1
C0027,37,17,Pune,Basic,Annual,Fiber,809,13753,0,10,18,Net Banking,0
C0028,44,22,Hyderabad,Pro,Two year,Mobile,1870,41315,5,6,47,Credit Card,0
